Year,Volume,Issue,Title,Authors,Cite As,DOI
2014,60,4,Can Analysts Analyze Mergers?,"Hassan Tehranian, Mengxing Zhao, Julie L. Zhu","Hassan Tehranian, Mengxing Zhao, Julie L. Zhu (2014) Can Analysts Analyze Mergers?. Management Science 60(4):959-979",https://doi.org/10.1287/mnsc.2013.1796
2014,60,4,Integrating Problem Solvers from Analogous Markets in New Product Ideation,"Nikolaus Franke, Marion K. Poetz, Martin Schreier","Nikolaus Franke, Marion K. Poetz, Martin Schreier (2014) Integrating Problem Solvers from Analogous Markets in New Product Ideation. Management Science 60(4):1063-1081",https://doi.org/10.1287/mnsc.2013.1805
2014,60,4,Prospect Theory and the Newsvendor Problem,"Mahesh Nagarajan, Steven Shechter","Mahesh Nagarajan, Steven Shechter (2014) Prospect Theory and the Newsvendor Problem. Management Science 60(4):1057-1062",https://doi.org/10.1287/mnsc.2013.1804
2014,60,4,Do Individuals Have Preferences Used in Macro-Finance Models? An Experimental Investigation,"Alexander L. Brown, Hwagyun Kim","Alexander L. Brown, Hwagyun Kim (2014) Do Individuals Have Preferences Used in Macro-Finance Models? An Experimental Investigation. Management Science 60(4):939-958",https://doi.org/10.1287/mnsc.2013.1794
2014,60,5,"Economic Uncertainty, Disagreement, and Credit Markets","Andrea Buraschi, Fabio Trojani, Andrea Vedolin","Andrea Buraschi, Fabio Trojani, Andrea Vedolin (2014) Economic Uncertainty, Disagreement, and Credit Markets. Management Science 60(5):1281-1296",https://doi.org/10.1287/mnsc.2013.1815
2014,60,5,Investment Banks' Entry into New IPO Markets and IPO Underpricing,"Simon Yu Kit Fung, Ferdinand A. Gul, Suresh Radhakrishnan","Simon Yu Kit Fung, Ferdinand A. Gul, Suresh Radhakrishnan (2014) Investment Banks' Entry into New IPO Markets and IPO Underpricing. Management Science 60(5):1297-1316",https://doi.org/10.1287/mnsc.2013.1817
2014,60,5,Dynamic Pricing of Perishable Assets Under Competition,"Guillermo Gallego, Ming Hu","Guillermo Gallego, Ming Hu (2014) Dynamic Pricing of Perishable Assets Under Competition. Management Science 60(5):1241-1259",https://doi.org/10.1287/mnsc.2013.1821
2014,60,5,Observation Bias: The Impact of Demand Censoring on Newsvendor Level and Adjustment Behavior,"Nils Rudi, David Drake","Nils Rudi, David Drake (2014) Observation Bias: The Impact of Demand Censoring on Newsvendor Level and Adjustment Behavior. Management Science 60(5):1334-1345",https://doi.org/10.1287/mnsc.2013.1825
2014,60,5,A Branch-and-Cut Method for Dynamic Decision Making Under Joint Chance Constraints,"Minjiao Zhang, Simge Küçükyavuz, Saumya Goel","Minjiao Zhang, Simge Küçükyavuz, Saumya Goel (2014) A Branch-and-Cut Method for Dynamic Decision Making Under Joint Chance Constraints. Management Science 60(5):1317-1333",https://doi.org/10.1287/mnsc.2013.1822
2014,60,5,Measuring the Performance of Large-Scale Combinatorial Auctions: A Structural Estimation Approach,"Sang Won Kim, Marcelo Olivares, Gabriel Y. Weintraub","Sang Won Kim, Marcelo Olivares, Gabriel Y. Weintraub (2014) Measuring the Performance of Large-Scale Combinatorial Auctions: A Structural Estimation Approach. Management Science 60(5):1180-1201",https://doi.org/10.1287/mnsc.2013.1814
2014,60,5,Gender Interactions Within the Family Firm,"Mario Daniele Amore, Orsola Garofalo, Alessandro Minichilli","Mario Daniele Amore, Orsola Garofalo, Alessandro Minichilli (2014) Gender Interactions Within the Family Firm. Management Science 60(5):1083-1097",https://doi.org/10.1287/mnsc.2013.1824
2014,60,5,Partnership Formation: The Role of Social Status,"Haimanti Bhattacharya, Subhasish Dugar","Haimanti Bhattacharya, Subhasish Dugar (2014) Partnership Formation: The Role of Social Status. Management Science 60(5):1130-1147",https://doi.org/10.1287/mnsc.2013.1818
2014,60,5,A Bayesian Semiparametric Approach for Endogeneity and Heterogeneity in Choice Models,"Yang Li, Asim Ansari","Yang Li, Asim Ansari (2014) A Bayesian Semiparametric Approach for Endogeneity and Heterogeneity in Choice Models. Management Science 60(5):1161-1179",https://doi.org/10.1287/mnsc.2013.1811
2014,60,5,Inside Debt and the Design of Corporate Debt Contracts,"Divya Anantharaman, Vivian W. Fang, Guojin Gong","Divya Anantharaman, Vivian W. Fang, Guojin Gong (2014) Inside Debt and the Design of Corporate Debt Contracts. Management Science 60(5):1260-1280",https://doi.org/10.1287/mnsc.2013.1813
2014,60,5,Rewarding Volunteers: A Field Experiment,"Nicola Lacetera, Mario Macis, Robert Slonim","Nicola Lacetera, Mario Macis, Robert Slonim (2014) Rewarding Volunteers: A Field Experiment. Management Science 60(5):1107-1129",https://doi.org/10.1287/mnsc.2013.1826
2014,60,5,Crowding Out in the Labor Market: A Prosocial Setting Is Necessary,"Tanjim Hossain, King King Li","Tanjim Hossain, King King Li (2014) Crowding Out in the Labor Market: A Prosocial Setting Is Necessary. Management Science 60(5):1148-1160",https://doi.org/10.1287/mnsc.2013.1807
2014,60,5,Managing Global Sourcing: Inventory Performance,"Nitish Jain, Karan Girotra, Serguei Netessine","Nitish Jain, Karan Girotra, Serguei Netessine (2014) Managing Global Sourcing: Inventory Performance. Management Science 60(5):1202-1222",https://doi.org/10.1287/mnsc.2013.1816
2014,60,5,Working Harder or Hardly Working? Posting Performance Eliminates Social Loafing and Promotes Social Laboring in Workgroups,"Robert B. Lount, Steffanie L. Wilk","Robert B. Lount, Steffanie L. Wilk (2014) Working Harder or Hardly Working? Posting Performance Eliminates Social Loafing and Promotes Social Laboring in Workgroups. Management Science 60(5):1098-1106",https://doi.org/10.1287/mnsc.2013.1820
2014,60,5,Comment on “A Model of Probabilistic Choice Satisfying First-Order Stochastic Dominance” by Pavlo Blavatskyy,"Graham Loomes, Inmaculada Rodríguez-Puerta, Jose-Luis Pinto-Prades","Graham Loomes, Inmaculada Rodríguez-Puerta, Jose-Luis Pinto-Prades (2014) Comment on “A Model of Probabilistic Choice Satisfying First-Order Stochastic Dominance” by Pavlo Blavatskyy. Management Science 60(5):1346-1350",https://doi.org/10.1287/mnsc.2013.1810
2014,60,5,Home or Overseas? An Analysis of Sourcing Strategies Under Competition,"Xiaole Wu, Fuqiang Zhang","Xiaole Wu, Fuqiang Zhang (2014) Home or Overseas? An Analysis of Sourcing Strategies Under Competition. Management Science 60(5):1223-1240",https://doi.org/10.1287/mnsc.2013.1823
2014,60,6,Estimating Demand for Mobile Applications in the New Economy,"Anindya Ghose, Sang Pil Han","Anindya Ghose, Sang Pil Han (2014) Estimating Demand for Mobile Applications in the New Economy. Management Science 60(6):1470-1488",https://doi.org/10.1287/mnsc.2014.1945
2014,60,6,Integration of Online and Offline Channels in Retail: The Impact of Sharing Reliable Inventory Availability Information,"Santiago Gallino, Antonio Moreno","Santiago Gallino, Antonio Moreno (2014) Integration of Online and Offline Channels in Retail: The Impact of Sharing Reliable Inventory Availability Information. Management Science 60(6):1434-1451",https://doi.org/10.1287/mnsc.2014.1951
2014,60,6,When Does the Devil Make Work? An Empirical Study of the Impact of Workload on Worker Productivity,"Tom Fangyun Tan, Serguei Netessine","Tom Fangyun Tan, Serguei Netessine (2014) When Does the Devil Make Work? An Empirical Study of the Impact of Workload on Worker Productivity. Management Science 60(6):1574-1593",https://doi.org/10.1287/mnsc.2014.1950
2014,60,6,Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures,"Yang Bao, Anindya Datta","Yang Bao, Anindya Datta (2014) Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures. Management Science 60(6):1371-1391",https://doi.org/10.1287/mnsc.2014.1930
2014,60,6,Real-Time Optimization of Personalized Assortments,"Negin Golrezaei, Hamid Nazerzadeh, Paat Rusmevichientong","Negin Golrezaei, Hamid Nazerzadeh, Paat Rusmevichientong (2014) Real-Time Optimization of Personalized Assortments. Management Science 60(6):1532-1551",https://doi.org/10.1287/mnsc.2014.1939
2014,60,6,An Empirical Analysis of Digital Music Bundling Strategies,"Brett Danaher, Yan Huang, Michael D. Smith, Rahul Telang","Brett Danaher, Yan Huang, Michael D. Smith, Rahul Telang (2014) An Empirical Analysis of Digital Music Bundling Strategies. Management Science 60(6):1413-1433",https://doi.org/10.1287/mnsc.2014.1958
2014,60,6,A General Multiple Distributed Lag Framework for Estimating the Dynamic Effects of Promotions,"Eelco Kappe, Ashley Stadler Blank, Wayne S. DeSarbo","Eelco Kappe, Ashley Stadler Blank, Wayne S. DeSarbo (2014) A General Multiple Distributed Lag Framework for Estimating the Dynamic Effects of Promotions. Management Science 60(6):1489-1510",https://doi.org/10.1287/mnsc.2013.1856
2014,60,6,Business Analytics for Flexible Resource Allocation Under Random Emergencies,"Mallik Angalakudati, Siddharth Balwani, Jorge Calzada, Bikram Chatterjee, Georgia Perakis, Nicolas Raad, Joline Uichanco","Mallik Angalakudati, Siddharth Balwani, Jorge Calzada, Bikram Chatterjee, Georgia Perakis, Nicolas Raad, Joline Uichanco (2014) Business Analytics for Flexible Resource Allocation Under Random Emergencies. Management Science 60(6):1552-1573",https://doi.org/10.1287/mnsc.2014.1919
2014,60,6,Path to Purchase: A Mutually Exciting Point Process Model for Online Advertising and Conversion,"Lizhen Xu, Jason A. Duan, Andrew Whinston","Lizhen Xu, Jason A. Duan, Andrew Whinston (2014) Path to Purchase: A Mutually Exciting Point Process Model for Online Advertising and Conversion. Management Science 60(6):1392-1412",https://doi.org/10.1287/mnsc.2014.1952
2014,60,6,"Tie Strength, Embeddedness, and Social Influence: A Large-Scale Networked Experiment","Sinan Aral, Dylan Walker","Sinan Aral, Dylan Walker (2014) Tie Strength, Embeddedness, and Social Influence: A Large-Scale Networked Experiment. Management Science 60(6):1352-1370",https://doi.org/10.1287/mnsc.2014.1936
2014,60,6,On Theoretical and Empirical Aspects of Marginal Distribution Choice Models,"Vinit Kumar Mishra, Karthik Natarajan, Dhanesh Padmanabhan, Chung-Piaw Teo, Xiaobo Li","Vinit Kumar Mishra, Karthik Natarajan, Dhanesh Padmanabhan, Chung-Piaw Teo, Xiaobo Li (2014) On Theoretical and Empirical Aspects of Marginal Distribution Choice Models. Management Science 60(6):1511-1531",https://doi.org/10.1287/mnsc.2014.1906
2014,60,6,"Big Data Investment, Skills, and Firm Value",Prasanna Tambe,"Prasanna Tambe (2014) Big Data Investment, Skills, and Firm Value. Management Science 60(6):1452-1469",https://doi.org/10.1287/mnsc.2014.1899
2014,60,6,"Website Morphing 2.0: Switching Costs, Partial Exposure, Random Exit, and When to Morph","John R. Hauser, Guilherme (Gui) Liberali, Glen L. Urban","John R. Hauser, Guilherme (Gui) Liberali, Glen L. Urban (2014) Website Morphing 2.0: Switching Costs, Partial Exposure, Random Exit, and When to Morph. Management Science 60(6):1594-1616",https://doi.org/10.1287/mnsc.2014.1961
2014,60,7,Split-Award Auctions for Supplier Retention,"Aadhaar Chaturvedi, Damian R. Beil, Victor Martínez-de-Albéniz","Aadhaar Chaturvedi, Damian R. Beil, Victor Martínez-de-Albéniz (2014) Split-Award Auctions for Supplier Retention. Management Science 60(7):1719-1737",https://doi.org/10.1287/mnsc.2013.1835
2014,60,7,The Judgment of Garbage: End-of-Pipe Treatment and Waste Reduction,"Nilanjana Dutt, Andrew A. King","Nilanjana Dutt, Andrew A. King (2014) The Judgment of Garbage: End-of-Pipe Treatment and Waste Reduction. Management Science 60(7):1812-1828",https://doi.org/10.1287/mnsc.2013.1827
2014,60,7,Diasporas and Outsourcing: Evidence from oDesk and India,"Ejaz Ghani, William R. Kerr, Christopher Stanton","Ejaz Ghani, William R. Kerr, Christopher Stanton (2014) Diasporas and Outsourcing: Evidence from oDesk and India. Management Science 60(7):1677-1697",https://doi.org/10.1287/mnsc.2013.1832
2014,60,7,When Kerry Met Sally: Politics and Perceptions in the Demand for Movies,"Jason M. T. Roos, Ron Shachar","Jason M. T. Roos, Ron Shachar (2014) When Kerry Met Sally: Politics and Perceptions in the Demand for Movies. Management Science 60(7):1617-1631",https://doi.org/10.1287/mnsc.2013.1834
2014,60,7,The Ability of Global Stock Exchange Mechanisms to Mitigate Home Bias: Evidence from Euronext,"Grace Pownall, Maria Vulcheva, Xue Wang","Grace Pownall, Maria Vulcheva, Xue Wang (2014) The Ability of Global Stock Exchange Mechanisms to Mitigate Home Bias: Evidence from Euronext. Management Science 60(7):1655-1676",https://doi.org/10.1287/mnsc.2013.1831
2014,60,7,Integration and Productivity: Satellite-Tracked Evidence,Gabriel Natividad,Gabriel Natividad (2014) Integration and Productivity: Satellite-Tracked Evidence. Management Science 60(7):1698-1718,https://doi.org/10.1287/mnsc.2013.1833
2014,60,7,Optimal Multiperiod Pricing with Service Guarantees,"Christian Borgs, Ozan Candogan, Jennifer Chayes, Ilan Lobel, Hamid Nazerzadeh","Christian Borgs, Ozan Candogan, Jennifer Chayes, Ilan Lobel, Hamid Nazerzadeh (2014) Optimal Multiperiod Pricing with Service Guarantees. Management Science 60(7):1792-1811",https://doi.org/10.1287/mnsc.2013.1839
2014,60,7,Wallflowers: Experimental Evidence of an Aversion to Standing Out,"Daniel Jones, Sera Linardi","Daniel Jones, Sera Linardi (2014) Wallflowers: Experimental Evidence of an Aversion to Standing Out. Management Science 60(7):1757-1771",https://doi.org/10.1287/mnsc.2013.1837
2014,60,7,Targeted Advertising in Magazine Markets and the Advent of the Internet,"Ambarish Chandra, Ulrich Kaiser","Ambarish Chandra, Ulrich Kaiser (2014) Targeted Advertising in Magazine Markets and the Advent of the Internet. Management Science 60(7):1829-1843",https://doi.org/10.1287/mnsc.2013.1830
2014,60,7,Eliciting Prospect Theory When Consequences Are Measured in Time Units: “Time Is Not Money”,"Mohammed Abdellaoui, Emmanuel Kemel","Mohammed Abdellaoui, Emmanuel Kemel (2014) Eliciting Prospect Theory When Consequences Are Measured in Time Units: “Time Is Not Money”. Management Science 60(7):1844-1859",https://doi.org/10.1287/mnsc.2013.1829
2014,60,7,Forecasting the Equity Risk Premium: The Role of Technical Indicators,"Christopher J. Neely, David E. Rapach, Jun Tu, Guofu Zhou","Christopher J. Neely, David E. Rapach, Jun Tu, Guofu Zhou (2014) Forecasting the Equity Risk Premium: The Role of Technical Indicators. Management Science 60(7):1772-1791",https://doi.org/10.1287/mnsc.2013.1838
2014,60,7,Mobile Targeting,"Xueming Luo, Michelle Andrews, Zheng Fang, Chee Wei Phang","Xueming Luo, Michelle Andrews, Zheng Fang, Chee Wei Phang (2014) Mobile Targeting. Management Science 60(7):1738-1756",https://doi.org/10.1287/mnsc.2013.1836
2014,60,7,Examining the Impact of Ranking on Consumer Behavior and Search Engine Revenue,"Anindya Ghose, Panagiotis G. Ipeirotis, Beibei Li","Anindya Ghose, Panagiotis G. Ipeirotis, Beibei Li (2014) Examining the Impact of Ranking on Consumer Behavior and Search Engine Revenue. Management Science 60(7):1632-1654",https://doi.org/10.1287/mnsc.2013.1828
2014,60,8,Compensation and Peer Effects in Competing Sales Teams,"Tat Y. Chan, Jia Li, Lamar Pierce","Tat Y. Chan, Jia Li, Lamar Pierce (2014) Compensation and Peer Effects in Competing Sales Teams. Management Science 60(8):1965-1984",https://doi.org/10.1287/mnsc.2013.1840
2014,60,8,Money Talks: Rebate Mechanisms in Reputation System Design,"Lingfang (Ivy) Li, Erte Xiao","Lingfang (Ivy) Li, Erte Xiao (2014) Money Talks: Rebate Mechanisms in Reputation System Design. Management Science 60(8):2054-2072",https://doi.org/10.1287/mnsc.2013.1848
2014,60,8,Giving Feedback to Clients,"Teck-Hua Ho, Catherine Yeung","Teck-Hua Ho, Catherine Yeung (2014) Giving Feedback to Clients. Management Science 60(8):1926-1944",https://doi.org/10.1287/mnsc.2013.1846
2014,60,8,Timing Ability of Government Bond Fund Managers: Evidence from Portfolio Holdings,"Jing-Zhi Huang, Ying Wang","Jing-Zhi Huang, Ying Wang (2014) Timing Ability of Government Bond Fund Managers: Evidence from Portfolio Holdings. Management Science 60(8):2091-2109",https://doi.org/10.1287/mnsc.2013.1843
2014,60,8,Balancing Acquisition and Retention Spending for Firms with Limited Capacity,"Anton Ovchinnikov, Béatrice Boulu-Reshef, Phillip E. Pfeifer","Anton Ovchinnikov, Béatrice Boulu-Reshef, Phillip E. Pfeifer (2014) Balancing Acquisition and Retention Spending for Firms with Limited Capacity. Management Science 60(8):2002-2019",https://doi.org/10.1287/mnsc.2013.1842
2014,60,8,Crowdsourcing with All-Pay Auctions: A Field Experiment on Taskcn,"Tracy Xiao Liu, Jiang Yang, Lada A. Adamic, Yan Chen","Tracy Xiao Liu, Jiang Yang, Lada A. Adamic, Yan Chen (2014) Crowdsourcing with All-Pay Auctions: A Field Experiment on Taskcn. Management Science 60(8):2020-2037",https://doi.org/10.1287/mnsc.2013.1845
2014,60,8,"Financial Literacy, Financial Education, and Downstream Financial Behaviors","Daniel Fernandes, John G. Lynch, Richard G. Netemeyer","Daniel Fernandes, John G. Lynch, Richard G. Netemeyer (2014) Financial Literacy, Financial Education, and Downstream Financial Behaviors. Management Science 60(8):1861-1883",https://doi.org/10.1287/mnsc.2013.1849
2014,60,8,Volume Flexibility in Services: The Costs and Benefits of Flexible Labor Resources,"Saravanan Kesavan, Bradley R. Staats, Wendell Gilland","Saravanan Kesavan, Bradley R. Staats, Wendell Gilland (2014) Volume Flexibility in Services: The Costs and Benefits of Flexible Labor Resources. Management Science 60(8):1884-1906",https://doi.org/10.1287/mnsc.2013.1844
2014,60,8,Differences in Trading and Pricing Between Stock and Index Options,"Michael Lemmon, Sophie Xiaoyan Ni","Michael Lemmon, Sophie Xiaoyan Ni (2014) Differences in Trading and Pricing Between Stock and Index Options. Management Science 60(8):1985-2001",https://doi.org/10.1287/mnsc.2013.1841
2014,60,8,Retail Store Density and the Cost of Greenhouse Gas Emissions,Gérard P. Cachon,Gérard P. Cachon (2014) Retail Store Density and the Cost of Greenhouse Gas Emissions. Management Science 60(8):1907-1925,https://doi.org/10.1287/mnsc.2013.1819
2014,60,8,Information Content When Mutual Funds Deviate from Benchmarks,"Hao Jiang, Marno Verbeek, Yu Wang","Hao Jiang, Marno Verbeek, Yu Wang (2014) Information Content When Mutual Funds Deviate from Benchmarks. Management Science 60(8):2038-2053",https://doi.org/10.1287/mnsc.2013.1847
2014,60,8,The Long-Run Role of the Media: Evidence from Initial Public Offerings,"Laura Xiaolei Liu, Ann E. Sherman, Yong Zhang","Laura Xiaolei Liu, Ann E. Sherman, Yong Zhang (2014) The Long-Run Role of the Media: Evidence from Initial Public Offerings. Management Science 60(8):1945-1964",https://doi.org/10.1287/mnsc.2013.1851
2014,60,8,"Firm-Level Productivity, Risk, and Return","Ayşe İmrohoroğlu, Şelale Tüzel","Ayşe İmrohoroğlu, Şelale Tüzel (2014) Firm-Level Productivity, Risk, and Return. Management Science 60(8):2073-2090",https://doi.org/10.1287/mnsc.2013.1852
2014,60,9,2014 <i>Management Science</i> Service Awards,, (2014) 2014 <i>Management Science</i> Service Awards. Management Science 60(9):2111-2113,https://doi.org/10.1287/mnsc.2014.2034
2014,60,9,Should Event Organizers Prevent Resale of Tickets?,"Yao Cui, Izak Duenyas, Özge Şahin","Yao Cui, Izak Duenyas, Özge Şahin (2014) Should Event Organizers Prevent Resale of Tickets?. Management Science 60(9):2160-2179",https://doi.org/10.1287/mnsc.2013.1862
2014,60,9,Friendships and Search Behavior in Labor Markets,Adina D. Sterling,Adina D. Sterling (2014) Friendships and Search Behavior in Labor Markets. Management Science 60(9):2341-2354,https://doi.org/10.1287/mnsc.2013.1857
2014,60,9,Nonlinear Kalman Filtering in Affine Term Structure Models,"Peter Christoffersen, Christian Dorion, Kris Jacobs, Lotfi Karoui","Peter Christoffersen, Christian Dorion, Kris Jacobs, Lotfi Karoui (2014) Nonlinear Kalman Filtering in Affine Term Structure Models. Management Science 60(9):2248-2268",https://doi.org/10.1287/mnsc.2013.1870
2014,60,9,Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?,"Asher Curtis, Neil L. Fargher","Asher Curtis, Neil L. Fargher (2014) Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?. Management Science 60(9):2324-2340",https://doi.org/10.1287/mnsc.2013.1872
2014,60,9,Are Consumers Strategic? Structural Estimation from the Air-Travel Industry,"Jun Li, Nelson Granados, Serguei Netessine","Jun Li, Nelson Granados, Serguei Netessine (2014) Are Consumers Strategic? Structural Estimation from the Air-Travel Industry. Management Science 60(9):2114-2137",https://doi.org/10.1287/mnsc.2013.1860
2014,60,9,Commissions and Sales Targets Under Competition,"Guillermo Gallego, Masoud Talebian","Guillermo Gallego, Masoud Talebian (2014) Commissions and Sales Targets Under Competition. Management Science 60(9):2180-2197",https://doi.org/10.1287/mnsc.2013.1885
2014,60,9,Crowdsourcing New Product Ideas Under Consumer Learning,"Yan Huang, Param Vir Singh, Kannan Srinivasan","Yan Huang, Param Vir Singh, Kannan Srinivasan (2014) Crowdsourcing New Product Ideas Under Consumer Learning. Management Science 60(9):2138-2159",https://doi.org/10.1287/mnsc.2013.1879
2014,60,9,Does Social Proximity Enhance Business Partnerships? Theory and Evidence from Ethnicity's Role in U.S. Venture Capital,"Deepak Hegde, Justin Tumlinson","Deepak Hegde, Justin Tumlinson (2014) Does Social Proximity Enhance Business Partnerships? Theory and Evidence from Ethnicity's Role in U.S. Venture Capital. Management Science 60(9):2355-2380",https://doi.org/10.1287/mnsc.2013.1878
2014,60,9,"Financing and Investment Efficiency, Information Quality, and Accounting Biases","Lin Nan, Xiaoyan Wen","Lin Nan, Xiaoyan Wen (2014) Financing and Investment Efficiency, Information Quality, and Accounting Biases. Management Science 60(9):2308-2323",https://doi.org/10.1287/mnsc.2013.1864
2014,60,9,"Contracts, Biases, and Consumption of Access Services","Stephen Leider, Özge Şahin","Stephen Leider, Özge Şahin (2014) Contracts, Biases, and Consumption of Access Services. Management Science 60(9):2198-2222",https://doi.org/10.1287/mnsc.2013.1889
2014,60,9,What Do Credit Markets Tell Us About the Speed of Leverage Adjustment?,"Redouane Elkamhi, Raunaq S. Pungaliya, Anand M. Vijh","Redouane Elkamhi, Raunaq S. Pungaliya, Anand M. Vijh (2014) What Do Credit Markets Tell Us About the Speed of Leverage Adjustment?. Management Science 60(9):2269-2290",https://doi.org/10.1287/mnsc.2013.1871
2014,60,9,Environmental Externalities and Cost of Capital,Sudheer Chava,Sudheer Chava (2014) Environmental Externalities and Cost of Capital. Management Science 60(9):2223-2247,https://doi.org/10.1287/mnsc.2013.1863
2014,60,9,Optimal Credit Swap Portfolios,"Kay Giesecke, Baeho Kim, Jack Kim, Gerry Tsoukalas","Kay Giesecke, Baeho Kim, Jack Kim, Gerry Tsoukalas (2014) Optimal Credit Swap Portfolios. Management Science 60(9):2291-2307",https://doi.org/10.1287/mnsc.2013.1890
2014,60,10,Marriage and Managers' Attitudes to Risk,"Nikolai Roussanov, Pavel Savor","Nikolai Roussanov, Pavel Savor (2014) Marriage and Managers' Attitudes to Risk. Management Science 60(10):2496-2508",https://doi.org/10.1287/mnsc.2014.1926
2014,60,10,Sequential Search and Learning from Rank Feedback: Theory and Experimental Evidence,"Asa B. Palley, Mirko Kremer","Asa B. Palley, Mirko Kremer (2014) Sequential Search and Learning from Rank Feedback: Theory and Experimental Evidence. Management Science 60(10):2525-2542",https://doi.org/10.1287/mnsc.2014.1902
2014,60,10,Information Aggregation and Allocative Efficiency in Smooth Markets,"Krishnamurthy Iyer, Ramesh Johari, Ciamac C. Moallemi","Krishnamurthy Iyer, Ramesh Johari, Ciamac C. Moallemi (2014) Information Aggregation and Allocative Efficiency in Smooth Markets. Management Science 60(10):2509-2524",https://doi.org/10.1287/mnsc.2014.1929
2014,60,10,Subsidizing the Distribution Channel: Donor Funding to Improve the Availability of Malaria Drugs,"Terry A. Taylor, Wenqiang Xiao","Terry A. Taylor, Wenqiang Xiao (2014) Subsidizing the Distribution Channel: Donor Funding to Improve the Availability of Malaria Drugs. Management Science 60(10):2461-2477",https://doi.org/10.1287/mnsc.2014.1910
2014,60,10,Constrained Assortment Optimization for the Nested Logit Model,"Guillermo Gallego, Huseyin Topaloglu","Guillermo Gallego, Huseyin Topaloglu (2014) Constrained Assortment Optimization for the Nested Logit Model. Management Science 60(10):2583-2601",https://doi.org/10.1287/mnsc.2014.1931
2014,60,10,Electronic Medical Records and Physician Productivity: Evidence from Panel Data Analysis,"Hemant K. Bhargava, Abhay Nath Mishra","Hemant K. Bhargava, Abhay Nath Mishra (2014) Electronic Medical Records and Physician Productivity: Evidence from Panel Data Analysis. Management Science 60(10):2543-2562",https://doi.org/10.1287/mnsc.2014.1934
2014,60,10,"Trust, Trustworthiness, and Information Sharing in Supply Chains Bridging China and the United States","Özalp Özer, Yanchong Zheng, Yufei Ren","Özalp Özer, Yanchong Zheng, Yufei Ren (2014) Trust, Trustworthiness, and Information Sharing in Supply Chains Bridging China and the United States. Management Science 60(10):2435-2460",https://doi.org/10.1287/mnsc.2014.1905
2014,60,10,Conflicting Social Codes and Organizations: Hygiene and Authenticity in Consumer Evaluations of Restaurants,"David W. Lehman, Balázs Kovács, Glenn R. Carroll","David W. Lehman, Balázs Kovács, Glenn R. Carroll (2014) Conflicting Social Codes and Organizations: Hygiene and Authenticity in Consumer Evaluations of Restaurants. Management Science 60(10):2602-2617",https://doi.org/10.1287/mnsc.2014.1903
2014,60,10,Counterfeiters: Foes or Friends? How Counterfeits Affect Sales by Product Quality Tier,Yi Qian,Yi Qian (2014) Counterfeiters: Foes or Friends? How Counterfeits Affect Sales by Product Quality Tier. Management Science 60(10):2381-2400,https://doi.org/10.1287/mnsc.2014.1932
2014,60,10,A Demand Estimation Procedure for Retail Assortment Optimization with Results from Implementations,"Marshall Fisher, Ramnath Vaidyanathan","Marshall Fisher, Ramnath Vaidyanathan (2014) A Demand Estimation Procedure for Retail Assortment Optimization with Results from Implementations. Management Science 60(10):2401-2415",https://doi.org/10.1287/mnsc.2014.1904
2014,60,10,Does Inventory Productivity Predict Future Stock Returns? A Retailing Industry Perspective,"Yasin Alan, George P. Gao, Vishal Gaur","Yasin Alan, George P. Gao, Vishal Gaur (2014) Does Inventory Productivity Predict Future Stock Returns? A Retailing Industry Perspective. Management Science 60(10):2416-2434",https://doi.org/10.1287/mnsc.2014.1897
2014,60,10,Turnover: Liquidity or Uncertainty?,Alexander Barinov,Alexander Barinov (2014) Turnover: Liquidity or Uncertainty?. Management Science 60(10):2478-2495,https://doi.org/10.1287/mnsc.2014.1913
2014,60,10,The Fresh Start Effect: Temporal Landmarks Motivate Aspirational Behavior,"Hengchen Dai, Katherine L. Milkman, Jason Riis","Hengchen Dai, Katherine L. Milkman, Jason Riis (2014) The Fresh Start Effect: Temporal Landmarks Motivate Aspirational Behavior. Management Science 60(10):2563-2582",https://doi.org/10.1287/mnsc.2014.1901
2014,60,11,Do Parents Matter? Effects of Lender Affiliation Through the Mortgage Boom and Bust,Claudine Gartenberg,Claudine Gartenberg (2014) Do Parents Matter? Effects of Lender Affiliation Through the Mortgage Boom and Bust. Management Science 60(11):2776-2793,https://doi.org/10.1287/mnsc.2014.1944
2014,60,11,The Assortment Packing Problem: Multiperiod Assortment Planning for Short-Lived Products,"Felipe Caro, Victor Martínez-de-Albéniz, Paat Rusmevichientong","Felipe Caro, Victor Martínez-de-Albéniz, Paat Rusmevichientong (2014) The Assortment Packing Problem: Multiperiod Assortment Planning for Short-Lived Products. Management Science 60(11):2701-2721",https://doi.org/10.1287/mnsc.2014.1991
2014,60,11,Rational Information Leakage,"Raffi Indjejikian, Hai Lu, Liyan Yang","Raffi Indjejikian, Hai Lu, Liyan Yang (2014) Rational Information Leakage. Management Science 60(11):2762-2775",https://doi.org/10.1287/mnsc.2014.1975
